Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
name,website,city,street,amenity,email,phone,name:en,opening_hours,latitude,longitude
Muzej na sovremenata umetnost,https://msu.mk/home/,Skopje,Самоилова,museum,msu-info@msuskopje.org.mk,+389 2 3117734,Contemporary Art Museum of Macedonia,Tu-Sa 10:00-15:00; Su 09:00-13:00,42.0040225,21.4329048
Amerikansko katche Makedonija,https://www.acmacedonia.org/,Skopje,Булевар Гоце Делчев,library,acskopje@yahoo.com,+389 2 3120020,American Corner Macedonia,Mo-Fr 10:00-20:00; Sa 11:00-16:00,41.9980573,21.4397823
Spomen kukja na Majka Tereza,http://www.memorialhouseofmotherteresa.org/,Skopje,Македонија,museum,info@memorialhouseofmotherteresa.org,+389 2 3290674,Memorial House of Mother Teresa,Mo-Fr 09:00-20:00; Sa-Su 09:00-14:00,41.9938305,21.430859
Muzej na makedonskata borba,http://mmb.org.mk/w/,Skopje,11 Март,museum,mmb@mmb.org.mk,+389 2 3256 667,Museum of the Macedonian struggle,Tu-Su 10:00-18:00,41.9979845,21.433132
Nacionalna galerija „Daut-pashin amam“,https://nationalgallery.mk/,Skopje,,museum,contact@nationalgallery.mk,+389 2 3133102,Daut Pasha Hamam National Gallery,Tu-Su 10:00-18:00,41.9987239,21.4357236
Memorijalen centar na holokaustot na Evreite od Makedonija,https://www.holocaustfund.org/,Skopje,Самоилова,museum,info@holocaustfund.org.mk,+389 2 3122697,Holocaust Memorial Center for the Jews of Macedonia,,41.9984656,21.4333832
Naum Naumoski-Borche,,Krushevo,Коча Миленку,library,valentintaseski@gmail.com;nn.borce@yahoo.com,+38948477101;+38976265605,Naum Naumoski-Borche,Mo-Sa 08:30-16:30,41.3669471,21.2488978
Gralska biblioteka brakja miladinovci Skopje,https://www.gbsk.mk/,Skopje,Булевар Партизански Одреди,library,biblmiladinovci@gbiblsk.edu.mk,+389 2 3162 544,,,41.9997606,21.4201783
Galerija RA,,Skopje,Војвода Васил Чакаларов,museum,galerija.ra@gmail.com,+389075435402,Gallery RA,Mo-Sa 10:00-20:00,41.9989569,21.3865879
Stobi,http://www.stobi.mk,Negotino,,archaeological_site,contact@stobi.mk,+389 75 210 752,Stobi,Mo-Sa 08:00-16:00,41.5520256,21.9734409
Etnorestoran „Markov manastir“ - Mario,https://regentclub.com.mk/,Skopje,,monastery,,+38978341484,"Etnorestoran ""Marko Manastir"" - Mario",Tu-Su 11:00-23:00; Mo Closed,41.9069237,21.4138473
Muzej na Grad Skopje,http://www.mgs.org.mk/,Skopje,,museum,,+389 2 3114742,Museum of the City of Skopje,,41.9909145,21.4290087
Muzej,https://www.muzejprilep.org.mk,Prilep,Александар Македонски,museum,,,Museum,,41.342827,21.5593935
Muzej na Ilindenskoto vostanie i Krushevskata Republika,,Krushevo,Димитар Бербероски - Таќа Бербер,museum,,+38970619597;+38970356621,Museum of the Ilinden Uprising and the Republic of Krushevo,,41.3690527,21.2453034
Bigorski Manastir,https://bigorski.org.mk,Debar,,monastery,info@bigorski.org.mk,+389 (0) 42 333 399,,,41.6207798,20.6094915
Kukja na Robevci,http://muzejohrid.mk/en/house-of-robev-family,Ohrid,Цар Самоил,museum,,,Robev Family House,Tu-Su 09:00-14:00,41.112361,20.7961416
Learnica,,Krushevo,Тома Никлев,museum,,+38970356621;+38975202123,Foundry,,41.3721718,21.2466584
Biblioteka „Brakja Miladinovci“ - Karposh,,Skopje,Иван Аговски,library,,,"Library ""Miladinovci Brothers"" - Karposh",Mo-Fr 08:00-19:00; Sa;Su off,42.0027424,21.4120526
Arheoloshki muzej na Makedonija,,Skopje,,museum,,,Archaeological Museum of Macedonia,Tu-Su 10:00-18:00,41.9968594,21.4344917
Muzej na Bitola,,Bitola,Св. Климент Охридски,museum,,,Museum of Bitola,,41.023837,21.3356596
Dom na kultura 25 Maj,,Makedonski Brod,Партизанска,library,,,Dom Na Kultura 25 Maj,,41.5097744,21.2168495
Memorijalen muzej Naroden heroj Kuzman Josifoski-Pitu,,Prilep,Мара Јосифоска-Ѓурѓа,museum,,,People's hero Kuzman Josifoski-Pitu Memorial museum,,41.3425255,21.5597309
Nacionalna i univerzitetska biblioteka,,Skopje,Булевар Гоце Делчев,library,,,National and University Library,,41.9979496,21.439345
Borka Taleski-Modernoto,,Prilep,Кузман Јосифоски-Питу,library,,,Borka Taleski-Modernoto,,41.3455026,21.5504039
Gradska biblioteka Iskra,,Kochani,Маршал Тито,library,,,Gradska biblioteka Iskra,,41.9194025,22.4099434
Muzej na Makedonija,,Skopje,Прохор Пчински,museum,,,Museum of Macedonia,,42.0026676,21.4362139
Germanska chitalnica,,Skopje,Булевар Гоце Делчев,library,,,,Mo; We; Fr 11:00-14:30; Tu; Th 12:00-18:00; Sa 11:00-15:00,41.9981313,21.4393671
Crkva Sveti Nikola - Aerodrom,,Skopje,Булевар Србија,church,,,Saint Nicholas,,41.9837948,21.4714523
Crkva Sveti Dimitrij,,Kriva Palanka,Jane Sandanski,church,,,Chruch St. Dimitrij,,42.2022937,22.3357501
Katolichka crkva Presveto srce Isusovo,,Skopje,Петар Попарсов,church,,,Sacred Heart of Jesus,,41.9949542,21.4177825
NU Zavod za zashtita na spomenicite na kulturata i Muzej-Ohrid,http://muzejohrid.mk/en/,Ohrid,Боро Шаин,museum,,,Institute for Protection of Monuments of Culture and Museum-Ohrid,,41.1131718,20.7945858
Evangelsko Metodistichka Crkva,http://emc.mk/%D0%B7%D0%B0-%D0%BD%D0%B0%D1%81/,Strumica,Загребска,church,,,United Methodist Church,,41.4373198,22.6353267
Crkva „Sv. Apostoli Petar i Pavle“,,Skopje,Горно Лисиче,church,,,Saints Peter and Paul the Apostles Church,,41.9644772,21.4936632
Manastir Sv. Haralampie,,Kochani,,monastery,,,Saint Charalambos monastery,,41.9865034,22.4819287
Cocev Kamen,,Kratovo,,archaeological_site,,,Cocev Kamen,,42.0836218,21.9862589
City Museum,,Kriva Palanka,Sveti Joakim Osogovski,museum,,,,,42.2020133,22.3348959
Varoshki Manastir,,Prilep,,monastery,,,Monastery of Varosh,Mo-Sa 07:00-16:00,41.3602308,21.5342465
Hotel Manastir Sv. Joakim Osogovski,,Kriva Palanka,,monastery,,+38976499599,Hotel Manastir St. Joakim Osogovski,,42.2092075,22.3628114
Manastir Sv. Pantelejmon,,Skopje,,monastery,,,Monastery Sv. Pantelejmon,,41.976875,21.3744835
