name,website,city,street,amenity,email,region,phone,place,name:en,opening_hours,latitude,longitude
Музеј на современата уметност,https://msu.mk/home/,Скопје,Самоилова,museum,msu-info@msuskopje.org.mk,,+389 2 3117734,,Contemporary Art Museum of Macedonia,Tu-Sa 10:00-15:00; Su 09:00-13:00,42.0040225,21.4329048
Американско катче Македонија,https://www.acmacedonia.org/,Скопје,Булевар Гоце Делчев,library,acskopje@yahoo.com,,+389 2 3120020,,American Corner Macedonia,Mo-Fr 10:00-20:00; Sa 11:00-16:00,41.9980573,21.4397823
Спомен куќа на Мајка Тереза,http://www.memorialhouseofmotherteresa.org/,Скопје,Македонија,museum,info@memorialhouseofmotherteresa.org,,+389 2 3290674,,Memorial House of Mother Teresa,"Mo-Fr 09:00-20:00, Sa-Su 09:00-14:00",41.9938305,21.430859
Музеј на македонската борба,http://mmb.org.mk/w/,Скопје,11 Март,museum,mmb@mmb.org.mk,,+389 2 3256 667,,Museum of the Macedonian struggle,Tu-Su 10:00-18:00,41.9979845,21.433132
Национална галерија „Даут-пашин амам“,https://nationalgallery.mk/,Скопје,,museum,contact@nationalgallery.mk,,+389 2 3133102,,Daut Pasha Hamam National Gallery,Tu-Su 10:00-18:00,41.9987239,21.4357236
Меморијален центар на холокаустот на Евреите од Македонија,https://www.holocaustfund.org/,Скопје,Самоилова,museum,info@holocaustfund.org.mk,,+389 2 3122697,,Holocaust Memorial Center for the Jews of Macedonia,,41.9984656,21.4333832
Наум Наумоски-Борче,,Крушево,Коча Миленку,library,valentintaseski@gmail.com;nn.borce@yahoo.com,,+38948477101;+38976265605,,Naum Naumoski-Borche,Mo-Sa 08:30-16:30,41.3669471,21.2488978
Гралска библиотека браќа миладиновци Скопје,https://www.gbsk.mk/,Скопје,Булевар Партизански Одреди,library,biblmiladinovci@gbiblsk.edu.mk,,+389 2 3162 544,,,,41.9997606,21.4201783
Galerija RA,,Скопје,Војвода Васил Чакаларов,museum,galerija.ra@gmail.com,,+389075435402,,Gallery RA,Mo-Sa 10:00-20:00,41.9989569,21.3865879
Стоби,http://www.stobi.mk,Неготино,,archaeological_site,contact@stobi.mk,,+389 75 210 752,,Stobi,Mo-Sa 08:00-16:00,41.5520256,21.9734409
Етноресторан „Марков манастир“ - Марио,https://regentclub.com.mk/,Скопје,,monastery,,,+38978341484,,"Etnorestoran ""Marko Manastir"" - Mario","Tu-Su 11:00-23:00, Mo Closed",41.9069237,21.4138473
Музеј на Град Скопје,http://www.mgs.org.mk/,Скопје,,museum,,,+389 2 3114742,,Museum of the City of Skopje,,41.9909145,21.4290087
Музеј,https://www.muzejprilep.org.mk,Прилеп,Александар Македонски,museum,,,,,Museum,,41.342827,21.5593935
Музеј на Илинденското востание и Крушевската Република,,Крушево,Димитар Бербероски - Таќа Бербер,museum,,,+38970619597;+38970356621,,Museum of the Ilinden Uprising and the Republic of Krushevo,,41.3690527,21.2453034
Бигорски Манастир,https://bigorski.org.mk,Дебар,,monastery,info@bigorski.org.mk,,+389 (0) 42 333 399,,,,41.6207798,20.6094915
Куќа на Робевци,http://muzejohrid.mk/en/house-of-robev-family,Охрид,Цар Самоил,museum,,,,,Robev Family House,Tu-Su 09:00-14:00,41.112361,20.7961416
Леарница,,Крушево,Тома Никлев,museum,,,+38970356621;+38975202123,,Foundry,,41.3721718,21.2466584
Библиотека „Браќа Миладиновци“ - Карпош,,Скопје,Иван Аговски,library,,,,,"Library ""Miladinovci Brothers"" - Karposh","Mo-Fr 08:00-19:00; Sa,Su off",42.0027424,21.4120526
Археолошки музеј на Македонија,,Скопје,,museum,,,,,Archaeological Museum of Macedonia,Tu-Su 10:00-18:00,41.9968594,21.4344917
Музеј на Битола,,Битола,Св. Климент Охридски,museum,,,,,Museum of Bitola,,41.023837,21.3356596
Дом на култура 25 Мај,,Македонски Брод,Партизанска,library,,,,,Dom Na Kultura 25 Maj,,41.5097744,21.2168495
Меморијален музеј Народен херој Кузман Јосифоски-Питу,,Прилеп,Мара Јосифоска-Ѓурѓа,museum,,,,,People's hero Kuzman Josifoski-Pitu Memorial museum,,41.3425255,21.5597309
Национална и универзитетска библиотека,,Скопје,Булевар Гоце Делчев,library,,,,,National and University Library,,41.9979496,21.439345
Борка Талески-Модерното,,Прилеп,Кузман Јосифоски-Питу,library,,,,,Borka Taleski-Modernoto,,41.3455026,21.5504039
Градска библиотека Искра,,Кочани,Маршал Тито,library,,,,,Gradska biblioteka Iskra,,41.9194025,22.4099434
Музеј на Македонија,,Скопје,Прохор Пчински,museum,,,,,Museum of Macedonia,,42.0026676,21.4362139
Германска читалница,,Скопје,Булевар Гоце Делчев,library,,,,,,"Mo, We, Fr 11:00-14:30; Tu, Th 12:00-18:00; Sa[1] 11:00-15:00",41.9981313,21.4393671
Црква Свети Никола - Аеродром,,Скопје,Булевар Србија,church,,,,,Saint Nicholas,,41.9837948,21.4714523
Црква Свети Димитриј,,Крива Паланка,Jane Sandanski,church,,,,,Chruch St. Dimitrij,,42.2022937,22.3357501
Католичка црква Пресвето срце Исусово,,Скопје,Петар Попарсов,church,,,,,Sacred Heart of Jesus,,41.9949542,21.4177825
НУ Завод за заштита на спомениците на културата и Музеј-Охрид,http://muzejohrid.mk/en/,Охрид,Боро Шаин,museum,,,,,Institute for Protection of Monuments of Culture and Museum-Ohrid,,41.1131718,20.7945858
Евангелско Методистичка Црква,http://emc.mk/%D0%B7%D0%B0-%D0%BD%D0%B0%D1%81/,Струмица,Загребска,church,,,,,United Methodist Church,,41.4373198,22.6353267
Црква „Св. Апостоли Петар и Павле“,,Скопје,Горно Лисиче,church,,,,,Saints Peter and Paul the Apostles Church,,41.9644772,21.4936632
Манастир Св. Харалампие,,Кочани,,monastery,,,,,Saint Charalambos monastery,,41.9865034,22.4819287
Цоцев Камен,,Кратово,,archaeological_site,,,,locality,Cocev Kamen,,42.0836218,21.9862589
City Museum,,Крива Паланка,Sveti Joakim Osogovski,museum,,,,,,,42.2020133,22.3348959
Варошки Манастир,,Прилеп,,monastery,,,,,Monastery of Varosh,Mo-Sa 07:00-16:00,41.3602308,21.5342465
Хотел Манастир Св. Јоаким Осоговски,,Крива Паланка,,monastery,,,+38976499599,,Hotel Manastir St. Joakim Osogovski,,42.2092075,22.3628114
Манастир Св. Пантелејмон,,Скопје,,monastery,,,,,Monastery Sv. Pantelejmon,,41.976875,21.3744835
Манастириште,,Крушево,,monastery,,,,locality,Manastirishte,,41.3342536,21.2944459
Св. Троица,,Штип,Партизанска,monastery,,,,,,,41.764959,22.1992659
Музеј на град Берово,http://www.berovo.gov.mk/index.php?option=com_content&view=article&id=76&Itemid=117,Берово,,museum,,,,,Berovo Town Museum,,41.7077548,22.8566138
Природонаучен Музеј,,Скопје,,museum,,,,,Macedonian Museum of Natural History,Tu-Su 09:00-16:00,42.005709,21.4174425
Манастирец,,Македонски Брод,,monastery,,,,village,Manastirec,,41.615915,21.20585
Манастирско Доленци,,Кичево,,monastery,,,,village,Manastirsko Dolenci,,41.4553299,20.9383949
Архив на град Скопје,,Скопје,Московска,library,,,,,Skopje City Archives,,42.0030932,21.3907447
Насока: Музеј на Современа Уметност кон Островска,,Скопје,,museum,,,,,Direction: Museum of Modern Art to Ostrovska,Mo-Su 09:40-13:45,41.991065,21.4608009
Горна Бела Црква,,Ресен,,church,,,,village,Gorna Bela Crkva,,41.052604,21.0270859
Долна Бела Црква,,Ресен,,church,,,,village,Dolna Bela Crkva,,41.0407483,21.0530213
Манастир,,Прилеп,,monastery,,,,village,Manastir,,41.1665147,21.7278091
"Св. Кирил и Методиј,",,Штип,Крушевска Република,monastery,,,,,,,41.7584182,22.2049297
Бела Црква,,Крушево,,church,,,,village,Bela Crkva,,41.2802009,21.3465334
Насока: Островска кон Музеј на Современа Уметност,,Скопје,,museum,,,,,Direction: Ostrovska to Museum of Modern Art,Mo-Su 09:00-13:05,41.9911049,21.460762
Црква „Свети Илија„,,Охрид,,church,,,,,Church of St. Elijah,,41.1827523,20.7990502
Залив на Коските,,Охрид,,museum,,,,,Bay of Bones,Tu-Su 09:00-16:15,40.9943571,20.798135
Црква,,Прилеп,,church,,,,locality,Crkva,,41.3094886,21.5148524
Спомен-куќа на Татарчеви,,Ресен,,museum,,,,,Tatarchev House,,41.0883715,21.0138121
Црква Св. Кирил и Методиј и Св. Бенедикт,,Охрид,Партизанска,church,,,,,,,41.1109674,20.8047653
Евангелска црква,,Скопје,Рузвелтова,church,,,,,,,41.9991208,21.4130556
Црква Св. Димитриј,,Скопје,,church,,,,,Church of St. Demetrius,,41.998476,21.4343719
Црква „Свети Спас“,,Охрид,,church,,,+389 77 899 580,,,,41.1817025,20.7932588
Моклишки Манастир,,Кавадарци,,monastery,,,,,Monastery of Moklishte,,41.3849637,22.0371547
Куќата на Ѓошеви,,Прилеп,,archaeological_site,,,,,House of Gjoshev,,41.3588123,21.5329048
Вепрчански Манастир,,Прилеп,,monastery,,,,,Monastery of Veprchani,,41.2710192,21.7632365
Никодински Манастир,,Прилеп,,monastery,,,,,Monastery of Nikodin,,41.4382231,21.7432732
Чанишки Манастир,,Прилеп,,monastery,,,,,Monastery of Chanishte,,41.1587114,21.6864086
Северен Пештански Манастир,,Прилеп,,monastery,,,,,North Peshtani's Monastery,,41.2865774,21.6704685
Источен Пештански Манастир,,Прилеп,,monastery,,,,,East Peshtani's Monastery,,41.2753836,21.6619357
Манастир Трескавец,,Прилеп,,monastery,,,,,Monastery of Treskavec,,41.4038539,21.538239
Мариовски Манастир,,Прилеп,,monastery,,,,,Monastery of Mariovo,,41.165019,21.7263832
Дренски Манастир,,Прилеп,,monastery,,,,,Monastery of Dren,,41.3229712,21.7799888
Кокренски Манастир,,Прилеп,,monastery,,,,,Monastery of Kokre,,41.2928482,21.6345729
Мучеинци,,Демир Хисар,,archaeological_site,,,,,Mucheinci,,41.2017673,21.4000686
Волковски Манастир,,Прилеп,,monastery,,,,,Monastery of Volkovo,,41.304366,21.5658789
Тројачки Манастир,,Прилеп,,monastery,,,,,Monastery of Trojaci,,41.3666135,21.7406418
Врбоечки Манастир,,Крушево,,monastery,,,,,Monastery of Vrboec,,41.3346757,21.2937899
Спомен-дом Блаже Конески,,Прилеп,,museum,,,,,Blazhe Koneski Memorial House,,41.4492955,21.5584325
Рождество на Пресвета Богородица,,Ресен,,monastery,,,,,Nativity of the Holy Mother of God,,40.9781132,21.1004642
Кошински Манастир,,Македонски Брод,,monastery,,,,,Monastery of Koshino,,41.4647099,21.293814
Мелнички Манастир,,Прилеп,,monastery,,,,,Monastery of Melnica,,41.1636934,21.7811163
Ропотовски Манастир,,Македонски Брод,,monastery,,,,,Monastery of Ropotovo,,41.46197,21.3755953
